t,r
2020-09-30,0.794061435
2020-10-01,0.561787566
2020-10-02,-0.956089042
2020-10-05,1.767961623
2020-10-06,-1.41650199
2020-10-07,1.7275989
2020-10-08,0.812997215
2020-10-09,0.869732707
2020-10-12,1.624326477
2020-10-13,-0.635290443
2020-10-14,-0.655402829
2020-10-15,-0.150025917
2020-10-16,0.012630358
2020-10-19,-1.635628237
2020-10-20,0.454998114
2020-10-21,-0.22360153
2020-10-22,0.539685831
2020-10-23,0.34192613
2020-10-26,-1.871265764
2020-10-27,-0.325092455
2020-10-28,-3.559801958
2020-10-29,1.16076503
2020-10-30,-1.199588289
2020-11-02,1.202307227
2020-11-03,1.735226056
2020-11-04,2.21279927
2020-11-05,1.92218753
2020-11-06,-0.018518703
2020-11-09,1.163693171
2020-11-10,-0.14486425
2020-11-11,0.762825211
2020-11-12,-1.000586416
2020-11-13,1.349290447
2020-11-16,1.177076257
2020-11-17,-0.495483501
2020-11-18,-1.175949772
2020-11-19,0.390822749
2020-11-20,-0.664776298
2020-11-23,0.561414228
2020-11-24,1.596830909
2020-11-25,-0.154435508
2020-11-27,0.23582418
2020-11-30,-0.429963657
2020-12-01,1.086345026
2020-12-02,0.18141473
2020-12-03,-0.060525923
2020-12-04,0.879196959
2020-12-07,-0.191038566
2020-12-08,0.273186524
2020-12-09,-0.825621597
2020-12-10,-0.11063606
2020-12-11,-0.107483185
2020-12-14,-0.452475843
2020-12-15,1.305876395
2020-12-16,0.165216665
2020-12-17,0.572760237
2020-12-18,-0.359005935
2020-12-21,-0.384654299
2020-12-22,-0.208612236
2020-12-23,0.07347031
2020-12-24,0.355472728
2020-12-28,0.86980801
2020-12-29,-0.211445181
2020-12-30,0.136726678
2020-12-31,0.594060095
2021-01-04,-1.442363004
2021-01-05,0.703259364
2021-01-06,0.568512447
2021-01-07,1.46239302
2021-01-08,0.548225282
2021-01-12,-0.619760559
2021-01-13,0.234665093
2021-01-14,-0.370512501
2021-01-15,-0.72924509
2021-01-19,0.809301555
2021-01-20,1.373836513
2021-01-21,0.052953866
2021-01-22,-0.321268715
2021-01-25,0.371860182
2021-01-26,-0.147694986
2021-01-27,-2.547440961
2021-01-28,0.901368226
2021-01-29,-1.943051287
2021-02-01,1.593866754
2021-02-02,1.384515839
2021-02-03,0.096131499
2021-02-04,1.088331998
2021-02-05,0.38434866
2021-02-08,0.740290319
2021-02-09,-0.113456052
2021-02-10,-0.029918645
2021-02-11,0.159973457
2021-02-12,0.478644714
2021-02-16,-0.071688964
2021-02-17,-0.021364098
2021-02-18,-0.444082612
2021-02-19,-0.184892806
2021-02-22,-0.773700735
2021-02-23,0.119877044
2021-02-24,1.128537017
2021-02-25,-2.479700364
2021-02-26,-0.520782008
2021-03-01,2.390527281
2021-03-02,-0.800585862
2021-03-03,-1.329080483
2021-03-04,-1.319122138
2021-03-05,1.898441917
2021-03-08,-0.530892931
2021-03-09,1.40330567
2021-03-10,0.605627428
2021-03-11,1.03625226
2021-03-12,0.110872773
2021-03-15,0.6354588
2021-03-16,-0.158107983
2021-03-17,0.296342058
2021-03-18,-1.483930906
2021-03-19,-0.115498535
2021-03-22,0.746082977
2021-03-23,-0.76858494
2021-03-24,-0.545171492
2021-03-25,0.532384029
2021-03-26,1.648305343
2021-03-29,-0.080791204
2021-03-30,-0.297551724
2021-03-31,0.356704333
2021-04-01,1.150890247
2021-04-05,1.424647254
2021-04-06,-0.085871032
2021-04-07,0.136622933
2021-04-08,0.43364916
2021-04-09,0.757841855
2021-04-12,-0.004844374
2021-04-13,0.317777664
2021-04-14,-0.372050697
